session_id,student_id,advisor_id,date,duration_minutes,notes,status
1,1,5,2025-01-30,40,Discussion about academic progress and course selection.,missed
2,2,1,2025-03-28,18,Discussion about academic progress and course selection.,rescheduled
3,2,1,2025-04-02,38,Discussion about academic progress and course selection.,missed
4,3,1,2025-03-21,34,Discussion about academic progress and course selection.,rescheduled
5,4,2,2025-03-01,30,Discussion about academic progress and course selection.,attended
6,4,2,2025-02-23,36,Discussion about academic progress and course selection.,missed
7,4,2,2025-01-10,22,Discussion about academic progress and course selection.,missed
8,5,2,2025-01-26,26,Discussion about academic progress and course selection.,rescheduled
9,5,2,2025-02-27,41,Discussion about academic progress and course selection.,missed
10,6,2,2025-02-03,22,Discussion about academic progress and course selection.,missed
11,7,3,2025-01-23,28,Discussion about academic progress and course selection.,rescheduled
12,7,3,2025-02-04,22,Discussion about academic progress and course selection.,missed
13,7,3,2025-01-23,34,Discussion about academic progress and course selection.,rescheduled
14,8,3,2025-02-19,19,Discussion about academic progress and course selection.,missed
15,9,5,2025-02-16,25,Discussion about academic progress and course selection.,missed
16,10,3,2025-02-13,30,Discussion about academic progress and course selection.,rescheduled
17,10,3,2025-04-03,19,Discussion about academic progress and course selection.,rescheduled
18,10,3,2025-01-04,23,Discussion about academic progress and course selection.,attended
19,11,1,2025-01-09,18,Discussion about academic progress and course selection.,attended
20,11,1,2025-01-15,16,Discussion about academic progress and course selection.,missed
21,11,1,2025-02-05,32,Discussion about academic progress and course selection.,missed
22,12,2,2025-03-26,24,Discussion about academic progress and course selection.,attended
23,13,5,2025-03-12,28,Discussion about academic progress and course selection.,missed
24,13,5,2025-01-14,20,Discussion about academic progress and course selection.,missed
25,13,5,2025-03-26,19,Discussion about academic progress and course selection.,attended
26,14,3,2025-04-04,44,Discussion about academic progress and course selection.,attended
27,15,1,2025-01-27,29,Discussion about academic progress and course selection.,attended
28,16,5,2025-03-26,29,Discussion about academic progress and course selection.,missed
29,17,2,2025-03-12,42,Discussion about academic progress and course selection.,rescheduled
30,18,5,2025-03-03,32,Discussion about academic progress and course selection.,rescheduled
31,18,5,2025-01-19,23,Discussion about academic progress and course selection.,rescheduled
33,19,3,2025-03-24,17,Discussion about academic progress and course selection.,missed
35,20,3,2025-01-12,34,Discussion about academic progress and course selection.,rescheduled
36,20,3,2025-03-21,15,Discussion about academic progress and course selection.,missed
37,20,3,2025-01-06,22,Discussion about academic progress and course selection.,attended
38,21,1,2025-01-31,23,Discussion about academic progress and course selection.,missed
39,22,3,2025-03-16,39,Discussion about academic progress and course selection.,rescheduled
40,22,3,2025-02-17,38,Discussion about academic progress and course selection.,rescheduled
41,23,3,2025-02-20,33,Discussion about academic progress and course selection.,missed
42,23,3,2025-01-05,26,Discussion about academic progress and course selection.,missed
44,25,4,2025-01-14,20,Discussion about academic progress and course selection.,rescheduled
45,25,4,2025-03-17,18,Discussion about academic progress and course selection.,attended
46,25,4,2025-01-15,25,Discussion about academic progress and course selection.,attended
47,26,1,2025-02-14,35,Discussion about academic progress and course selection.,attended
48,26,1,2025-03-21,32,Discussion about academic progress and course selection.,attended
49,26,1,2025-01-13,24,Discussion about academic progress and course selection.,missed
50,27,1,2025-01-26,26,Discussion about academic progress and course selection.,rescheduled
51,28,2,2025-02-26,18,Discussion about academic progress and course selection.,attended
52,29,2,2025-04-05,30,Discussion about academic progress and course selection.,attended
53,29,2,2025-01-16,40,Discussion about academic progress and course selection.,attended
54,30,1,2025-02-12,26,Discussion about academic progress and course selection.,rescheduled
55,30,1,2025-02-18,30,Discussion about academic progress and course selection.,attended
56,30,1,2025-03-17,26,Discussion about academic progress and course selection.,missed
57,31,5,2025-03-26,32,Discussion about academic progress and course selection.,missed
58,31,5,2025-01-05,43,Discussion about academic progress and course selection.,missed
59,32,5,2025-04-05,42,Discussion about academic progress and course selection.,attended
60,32,5,2025-03-24,44,Discussion about academic progress and course selection.,missed
61,33,4,2025-01-11,40,Discussion about academic progress and course selection.,attended
62,33,4,2025-01-18,42,Discussion about academic progress and course selection.,missed
63,33,4,2025-01-04,31,Discussion about academic progress and course selection.,rescheduled
64,34,3,2025-04-11,30,Discussion about academic progress and course selection.,attended
65,35,3,2025-04-09,42,Discussion about academic progress and course selection.,missed
66,35,3,2025-01-10,20,Discussion about academic progress and course selection.,attended
67,36,3,2025-04-13,40,Discussion about academic progress and course selection.,attended
68,37,5,2025-03-20,29,Discussion about academic progress and course selection.,missed
69,37,5,2025-01-30,19,Discussion about academic progress and course selection.,attended
70,38,3,2025-02-13,36,Discussion about academic progress and course selection.,missed
71,38,3,2025-02-14,43,Discussion about academic progress and course selection.,attended
72,38,3,2025-04-04,39,Discussion about academic progress and course selection.,attended
73,39,4,2025-01-28,37,Discussion about academic progress and course selection.,attended
74,39,4,2025-03-11,18,Discussion about academic progress and course selection.,rescheduled
75,40,5,2025-01-18,21,Discussion about academic progress and course selection.,attended
76,40,5,2025-01-06,23,Discussion about academic progress and course selection.,attended
77,41,4,2025-02-20,23,Discussion about academic progress and course selection.,rescheduled
78,41,4,2025-02-24,19,Discussion about academic progress and course selection.,missed
79,42,1,2025-03-30,22,Discussion about academic progress and course selection.,attended
80,42,1,2025-03-04,28,Discussion about academic progress and course selection.,rescheduled
81,43,2,2025-02-09,20,Discussion about academic progress and course selection.,rescheduled
82,43,2,2025-02-06,41,Discussion about academic progress and course selection.,missed
83,44,2,2025-03-24,33,Discussion about academic progress and course selection.,rescheduled
84,44,2,2025-03-10,23,Discussion about academic progress and course selection.,rescheduled
85,45,2,2025-03-23,38,Discussion about academic progress and course selection.,attended
86,45,2,2025-04-05,39,Discussion about academic progress and course selection.,missed
87,46,4,2025-03-22,32,Discussion about academic progress and course selection.,rescheduled
88,46,4,2025-04-07,23,Discussion about academic progress and course selection.,missed
89,46,4,2025-04-03,16,Discussion about academic progress and course selection.,rescheduled
90,47,1,2025-03-08,20,Discussion about academic progress and course selection.,rescheduled
91,47,1,2025-03-25,36,Discussion about academic progress and course selection.,rescheduled
92,47,1,2025-03-11,24,Discussion about academic progress and course selection.,rescheduled
93,48,2,2025-03-16,19,Discussion about academic progress and course selection.,rescheduled
94,49,3,2025-03-24,20,Discussion about academic progress and course selection.,missed
96,50,1,2025-04-11,20,Discussion about academic progress and course selection.,missed
97,50,1,2025-01-31,21,Discussion about academic progress and course selection.,attended
98,50,1,2025-02-26,43,Discussion about academic progress and course selection.,missed
99,51,2,2025-03-07,39,Discussion about academic progress and course selection.,attended
100,51,2,2025-03-27,42,Discussion about academic progress and course selection.,attended
101,52,5,2025-04-01,35,Discussion about academic progress and course selection.,attended
102,53,2,2025-03-01,31,Discussion about academic progress and course selection.,missed
105,55,2,2025-03-26,35,Discussion about academic progress and course selection.,rescheduled
