enrollment_id,student_id,course_id,term_id,grade,attendance_rate,last_login,assignment_completion
1,1,7,2,D,72.64,2025-03-20,71.83
2,1,14,2,C,40.27,2025-03-27,42.77
3,1,4,2,A,48.19,2025-04-01,52.27
4,1,9,2,D,62.85,2025-03-24,64.30
5,1,13,2,F,75.09,2025-03-18,52.80
6,2,3,2,W,93.86,2025-04-07,85.17
7,2,4,2,A,81.31,2025-04-06,77.99
8,2,6,2,C,89.35,2025-04-04,76.75
9,3,5,2,C,93.44,2025-04-09,84.53
10,3,2,2,D,88.01,2025-04-09,70.40
11,3,12,2,W,78.61,2025-04-12,80.07
12,3,5,2,A,73.54,2025-04-06,84.39
13,4,5,2,B,55.22,2025-03-22,55.96
14,4,8,2,B,42.14,2025-04-03,61.86
15,4,4,2,D,61.94,2025-03-24,79.97
16,4,2,2,C,65.47,2025-04-02,63.57
17,4,14,2,D,61.29,2025-03-26,47.73
18,5,2,2,D,70.41,2025-04-09,73.64
19,5,15,2,W,93.25,2025-04-10,85.95
20,5,8,2,A,83.69,2025-04-12,85.09
21,6,4,2,A,40.20,2025-04-01,79.23
22,6,5,2,W,40.35,2025-03-26,69.22
23,6,10,2,W,43.10,2025-03-28,72.27
24,6,10,2,B,48.02,2025-03-15,53.69
25,6,6,2,B,41.95,2025-03-28,54.00
26,7,10,2,A,75.18,2025-03-31,65.51
27,7,12,2,C,55.90,2025-03-25,66.90
28,7,15,2,C,60.22,2025-03-27,56.83
29,7,1,2,W,50.77,2025-03-15,72.13
30,7,3,2,F,47.54,2025-03-20,44.94
31,8,14,2,F,40.90,2025-03-25,61.87
32,8,3,2,D,45.64,2025-03-18,50.62
33,8,9,2,C,43.32,2025-03-15,56.80
34,8,13,2,D,66.74,2025-04-03,44.02
35,9,15,2,D,90.37,2025-04-12,92.42
36,9,14,2,D,91.89,2025-04-03,90.41
37,9,14,2,D,76.55,2025-04-06,76.69
38,9,5,2,D,83.45,2025-04-03,83.68
39,10,5,2,D,69.70,2025-03-22,72.14
40,10,11,2,C,79.55,2025-03-31,70.63
41,10,10,2,C,50.20,2025-03-22,40.73
42,10,10,2,C,75.53,2025-03-19,65.68
43,11,13,2,W,51.97,2025-03-27,66.56
44,11,14,2,F,76.62,2025-03-29,49.55
45,11,5,2,F,79.56,2025-03-26,43.57
46,11,8,2,B,46.11,2025-03-27,52.08
47,11,12,2,B,47.02,2025-04-03,61.76
48,12,5,2,F,68.52,2025-03-29,51.25
49,12,2,2,C,54.06,2025-03-22,61.89
50,12,14,2,D,66.34,2025-03-24,66.00
51,13,14,2,C,70.66,2025-04-05,84.02
52,13,8,2,A,86.59,2025-04-10,92.86
53,13,7,2,F,90.53,2025-04-06,75.68
54,13,11,2,W,85.05,2025-04-06,83.21
55,14,11,2,C,83.82,2025-04-11,72.57
56,14,14,2,C,91.29,2025-04-06,84.18
57,14,15,2,F,91.33,2025-04-09,87.55
58,15,1,2,C,89.76,2025-04-08,73.70
59,15,9,2,C,94.67,2025-04-11,77.39
60,15,7,2,F,72.80,2025-04-12,73.91
61,15,3,2,W,91.10,2025-04-12,73.78
